Station,Train Operating Companies / Lines,Postcode,Cardinal Direction,Region,Closest Major City,Landmark 1,Landmark 2,Landmark 3
Whaley Bridge,Northern,Unknown,North,North West,Manchester,None,None,None
Furness Vale,Northern,Unknown,North,North West,Manchester,None,None,None
Disley,Northern,Unknown,North,North West,Manchester,None,None,None
Hazel Grove,Northern,Unknown,North,North West,Manchester,None,None,None
Davenport,Northern,Unknown,North,North West,Manchester,None,None,None
Woodsmoor,Northern,Unknown,North,North West,Manchester,None,None,None
Middlewood,Northern,Unknown,North,North West,Manchester,None,None,None
Mottram,Northern,Unknown,Central,London,London,None,None,None
Newton for Hyde,Northern,Unknown,North,North West,Manchester,None,None,None
Hyde North,Northern,Unknown,North,North West,Manchester,None,None,None
Hyde Central,Northern,Unknown,North,North West,Manchester,None,None,None
Godley,Northern,Unknown,North,North West,Manchester,None,None,None
Hattersley,Northern,Unknown,North,North West,Manchester,None,None,None
Broadbottom,Northern,Unknown,North,North West,Manchester,None,None,None
Hadfield,Northern,Unknown,North,North West,Manchester,None,None,None
Dinting,Northern,Unknown,North,North West,Manchester,None,None,None
Glossop,Northern,Unknown,North,North West,Manchester,None,None,None
Crowden,Northern,Unknown,Central,London,London,None,None,None
Torside,Northern,Unknown,Central,London,London,None,None,None
Dunford Bridge,Northern,Unknown,Central,London,London,None,None,None
Penistone,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Silkstone Common,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Dodworth,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Barnsley,"Northern,CrossCountry",S70 1EH,North,Yorkshire and the Humber,Manchester,None,None,None
Wombwell,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Bolton-upon-Dearne,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Goldthorpe,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Bolton-on-Dearne,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Moorthorpe,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
South Elmsall,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Fitzwilliam,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Sandal & Agbrigg,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Wakefield Kirkgate,Northern,WF1 1XG,North,Yorkshire and the Humber,Manchester,None,None,None
Normanton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Castleford,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Glasshoughton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Pontefract Monkhill,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Pontefract Tanshelf,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Pontefract Baghill,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Featherstone,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Streethouse,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Outwood,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Wakefield Westgate,"Northern,LNER,CrossCountry",WF1 1NT,North,Yorkshire and the Humber,Manchester,The Hepworth Wakefield,Wakefield Cathedral,None
Dewsbury,"Northern,TransPennine Express",WF12 8BL,North,Yorkshire and the Humber,Manchester,None,None,None
Batley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Morley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Cottingley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Leeds,"Northern,LNER,CrossCountry,TransPennine Express,London Northwestern Railway",LS1 4DY,North,Yorkshire and the Humber,Manchester,Royal Armouries Museum,Corn Exchange Leeds,Leeds City Museum
Bradford Interchange,"Northern,TransPennine Express",BD1 1SS,North,Yorkshire and the Humber,Manchester,Bradford City Hall,Alhambra Theatre,None
Bradford Forster Square,Northern,BD1 4AA,North,Yorkshire and the Humber,Manchester,Bradford Cathedral,None,None
Halifax,Northern,HX1 1UA,North,Yorkshire and the Humber,Manchester,The Piece Hall Halifax,None,None
Huddersfield,"Northern,TransPennine Express",HD1 1JP,North,Yorkshire and the Humber,Manchester,Huddersfield Town Hall,None,None
Sheffield,"CrossCountry,Northern,East Midlands Railway,TransPennine Express,LNER,Avanti West Coast",S1 2BP,North,Yorkshire and the Humber,Manchester,Sheffield Cathedral,Winter Gardens,Millennium Gallery
Rotherham Central,Northern,S60 1PD,North,Yorkshire and the Humber,Manchester,Rotherham Minster,None,None
Doncaster,"LNER,Northern,CrossCountry,TransPennine Express",DN1 1PL,North,Yorkshire and the Humber,Manchester,Doncaster Minster,Mansion House Doncaster,None
York,"LNER,CrossCountry,Northern,TransPennine Express",YO24 1AB,North,Yorkshire and the Humber,Manchester,York Minster,Shambles,National Railway Museum
Harrogate,"Northern,TransPennine Express",HG1 1ER,North,Yorkshire and the Humber,Manchester,Valley Gardens Harrogate,Royal Hall Harrogate,None
Knaresborough,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Starbeck,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hammerton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Cattal,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Poppleton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Thirsk,LNER,YO7 1LT,North,Yorkshire and the Humber,Manchester,None,None,None
Northallerton,"LNER,Northern",DL7 8PW,North,Yorkshire and the Humber,Manchester,None,None,None
Darlington,"LNER,Northern,CrossCountry,TransPennine Express",DL3 6JA,North,North East,Glasgow,Locomotion No.1 replica,None,None
Durham,"LNER,Northern",DH1 4RP,North,North East,Glasgow,Durham Cathedral,Durham Castle,Framwellgate Bridge
Chester-le-Street,Northern,DH3 3LZ,North,North East,Glasgow,None,None,None
Newcastle,"LNER,Northern,CrossCountry,TransPennine Express",NE1 5DL,North,North East,Glasgow,Angel of the North (nearby),Tyne Bridge,Grey Street
Sunderland,"Northern,TransPennine Express",SR1 1NT,North,North East,Glasgow,Wearmouth Bridge,Stadium of Light (nearby),None
Middlesbrough,"Northern,TransPennine Express,LNER",TS1 1DB,North,North East,Glasgow,Transporter Bridge,mima (Middlesbrough Institute),None
Stockton,Northern,Unknown,North,North East,Glasgow,None,None,None
Thornaby,"Northern,TransPennine Express",Unknown,North,North East,Glasgow,None,None,None
Hartlepool,Northern,TS24 7HF,North,North East,Glasgow,Hartlepool Historic Quay,None,None
Seaham,Northern,Unknown,North,North East,Glasgow,None,None,None
Horden,Northern,Unknown,North,North East,Glasgow,None,None,None
Peterlee,Northern,Unknown,North,North East,Glasgow,None,None,None
South Hylton,Northern,Unknown,Central,London,London,None,None,None
Pallion,Northern,Unknown,Central,London,London,None,None,None
Stadium of Light,Northern,Unknown,Central,London,London,None,None,None
St Peters,Northern,Unknown,Central,London,London,None,None,None
Millfield,Northern,Unknown,Central,London,London,None,None,None
Felling,Northern,Unknown,Central,London,London,None,None,None
Gateshead,Northern,Unknown,North,North East,Glasgow,None,None,None
Gateshead Metro Centre,Northern,Unknown,North,North East,Glasgow,None,None,None
Blaydon,Northern,Unknown,North,North East,Glasgow,None,None,None
Dunston,Northern,Unknown,North,North East,Glasgow,None,None,None
Hexham,Northern,NE46 1EA,North,North East,Glasgow,Hexham Abbey,Hexham Old Gaol,None
Corbridge,Northern,Unknown,North,North East,Glasgow,None,None,None
Riding Mill,Northern,Unknown,North,North East,Glasgow,None,None,None
Stocksfield,Northern,Unknown,North,North East,Glasgow,None,None,None
Prudhoe,Northern,Unknown,North,North East,Glasgow,None,None,None
Wylam,Northern,Unknown,North,North East,Glasgow,None,None,None
Scotswood,Northern,Unknown,North,North East,Glasgow,None,None,None
Elswick,Northern,Unknown,North,North East,Glasgow,None,None,None
Metrocentre,Northern,Unknown,North,North East,Glasgow,None,None,None
Haltwhistle,Northern,Unknown,North,North East,Glasgow,None,None,None
Bardon Mill,Northern,Unknown,North,North East,Glasgow,None,None,None
Haydon Bridge,Northern,Unknown,North,North East,Glasgow,None,None,None
Brampton,Northern,Unknown,Central,London,London,None,None,None
Carlisle,"Avanti West Coast,Northern,TransPennine Express,CrossCountry,ScotRail,Caledonian Sleeper",CA1 1LT,North,North West,Glasgow,Carlisle Cathedral,Carlisle Castle,Tullie House Museum
Penrith,"Avanti West Coast,TransPennine Express,Northern",CA11 7PT,North,North West,Glasgow,Penrith Castle,None,None
Oxenholme Lake District,"Avanti West Coast,Northern,TransPennine Express",LA9 7BH,North,North West,Glasgow,None,None,None
Windermere,Northern,LA23 1BA,North,North West,Glasgow,Lake Windermere,Orrest Head View,World of Beatrix Potter
Staveley,Northern,Unknown,Central,London,London,None,None,None
Burneside,Northern,Unknown,Central,London,London,None,None,None
Kendal,Northern,Unknown,Central,London,London,None,None,None
Lancaster,"Avanti West Coast,Northern,TransPennine Express",LA1 1QE,North,North West,Manchester,Lancaster Castle,Lancaster Priory,Ashton Memorial
Morecambe,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Heysham Port,Northern,Unknown,Central,London,London,None,None,None
Bare Lane,Northern,Unknown,North,North West,Manchester,None,None,None
Bolton-le-Sands,Northern,Unknown,North,North West,Manchester,None,None,None
Carnforth,"Northern,Avanti West Coast",Unknown,North,North West,Manchester,None,None,None
Silverdale,Northern,Unknown,North,North West,Manchester,None,None,None
Arnside,Northern,Unknown,North,North West,Manchester,None,None,None
Grange-over-Sands,Northern,Unknown,North,North West,Manchester,None,None,None
Kents Bank,Northern,Unknown,North,North West,Manchester,None,None,None
Cark & Cartmel,Northern,Unknown,North,North West,Manchester,None,None,None
Ulverston,Northern,Unknown,North,North West,Manchester,None,None,None
Barrow-in-Furness,Northern,LA14 2PW,North,North West,Glasgow,Furness Abbey (2km),None,None
Roose,Northern,Unknown,North,North West,Manchester,None,None,None
Askam,Northern,Unknown,North,North West,Manchester,None,None,None
Kirkby-in-Furness,Northern,Unknown,North,North West,Manchester,None,None,None
Green Road,Northern,Unknown,North,North West,Manchester,None,None,None
Foxfield,Northern,Unknown,North,North West,Manchester,None,None,None
Millom,Northern,Unknown,North,North West,Manchester,None,None,None
Silecroft,Northern,Unknown,North,North West,Manchester,None,None,None
Bootle,Northern,Unknown,North,North West,Manchester,None,None,None
Drigg,Northern,Unknown,North,North West,Manchester,None,None,None
Ravenglass,Northern,Unknown,North,North West,Manchester,None,None,None
Seascale,Northern,Unknown,North,North West,Manchester,None,None,None
Sellafield,Northern,Unknown,North,North West,Manchester,None,None,None
Braystones,Northern,Unknown,North,North West,Manchester,None,None,None
Nethertown,Northern,Unknown,North,North West,Manchester,None,None,None
St Bees,Northern,Unknown,North,North West,Manchester,None,None,None
Corkickle,Northern,Unknown,North,North West,Manchester,None,None,None
Whitehaven,Northern,Unknown,North,North West,Manchester,None,None,None
Parton,Northern,Unknown,North,North West,Manchester,None,None,None
Harrington,Northern,Unknown,North,North West,Manchester,None,None,None
Workington,Northern,Unknown,North,North West,Manchester,None,None,None
Flimby,Northern,Unknown,North,North West,Manchester,None,None,None
Maryport,Northern,Unknown,North,North West,Manchester,None,None,None
Aspatria,Northern,Unknown,North,North West,Manchester,None,None,None
Wigton,Northern,Unknown,North,North West,Manchester,None,None,None
Dalston,Northern,Unknown,North,North West,Manchester,None,None,None
Blackpool North,"Northern,Avanti West Coast,TransPennine Express",FY1 5EQ,North,North West,Manchester,Blackpool Tower,Blackpool Pleasure Beach,Blackpool Winter Gardens
Blackpool South,Northern,FY4 1TW,North,North West,Manchester,Blackpool Pleasure Beach,None,None
Blackpool Pleasure Beach,Northern,Unknown,North,North West,Manchester,None,None,None
Layton,Northern,Unknown,North,North West,Manchester,None,None,None
Poulton-le-Fylde,Northern,Unknown,North,North West,Manchester,None,None,None
Kirkham & Wesham,Northern,Unknown,North,North West,Manchester,None,None,None
Moss Side,Northern,Unknown,North,North West,Manchester,None,None,None
Lytham,Northern,Unknown,North,North West,Manchester,None,None,None
Ansdell & Fairhaven,Northern,Unknown,North,North West,Manchester,None,None,None
St Annes-on-the-Sea,Northern,Unknown,North,North West,Manchester,None,None,None
Squires Gate,Northern,Unknown,North,North West,Manchester,None,None,None
Preston,"Avanti West Coast,Northern,TransPennine Express,CrossCountry",PR1 1LD,North,North West,Manchester,Harris Museum & Art Gallery,Preston Minster,None
Leyland,Northern,Unknown,North,North West,Manchester,None,None,None
Chorley,Northern,Unknown,North,North West,Manchester,None,None,None
Adlington (Lancashire),Northern,Unknown,North,North West,Manchester,None,None,None
Blackrod,Northern,Unknown,North,North West,Manchester,None,None,None
Lostock,Northern,Unknown,North,North West,Manchester,None,None,None
Bolton,"Northern,TransPennine Express",BL1 1RU,North,North West,Manchester,Bolton Town Hall,None,None
Bromley Cross,Northern,Unknown,North,North West,Manchester,None,None,None
Entwistle,Northern,Unknown,North,North West,Manchester,None,None,None
Darwen,Northern,Unknown,North,North West,Manchester,None,None,None
Blackburn,"Northern,TransPennine Express",BB2 1EB,North,North West,Manchester,Blackburn Cathedral,None,None
Clitheroe,Northern,Unknown,North,North West,Manchester,None,None,None
Whalley,Northern,Unknown,North,North West,Manchester,None,None,None
Langho,Northern,Unknown,North,North West,Manchester,None,None,None
Ramsgreave & Wilpshire,Northern,Unknown,North,North West,Manchester,None,None,None
Accrington,"Northern,TransPennine Express",Unknown,North,North West,Manchester,None,None,None
Burnley Manchester Road,Northern,BB11 1EP,North,North West,Manchester,None,None,None
Burnley Central,Northern,Unknown,North,North West,Manchester,None,None,None
Burnley Barracks,Northern,Unknown,North,North West,Manchester,None,None,None
Rose Grove,Northern,Unknown,North,North West,Manchester,None,None,None
Hapton,Northern,Unknown,North,North West,Manchester,None,None,None
Huncoat,Northern,Unknown,North,North West,Manchester,None,None,None
Church & Oswaldtwistle,Northern,Unknown,North,North West,Manchester,None,None,None
Rishton,Northern,Unknown,North,North West,Manchester,None,None,None
Great Harwood,Northern,Unknown,Central,London,London,None,None,None
Padiham,Northern,Unknown,Central,London,London,None,None,None
Nelson,Northern,Unknown,North,North West,Manchester,None,None,None
Colne,Northern,Unknown,North,North West,Manchester,None,None,None
Brierfield,Northern,Unknown,North,North West,Manchester,None,None,None
Barrowford,Northern,Unknown,North,North West,Manchester,None,None,None
Pendle,Northern,Unknown,Central,London,London,None,None,None
Rochdale,"Northern,TransPennine Express",OL16 1NZ,North,North West,Manchester,Rochdale Town Hall,Rochdale Pioneers Museum,None
Smithy Bridge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Littleborough,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Walsden,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Todmorden,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hebden Bridge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Mytholmroyd,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Sowerby Bridge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Brighouse,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Cooper Bridge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Mirfield,"Northern,TransPennine Express",Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ravensthorpe,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Thornhill LNW,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ossett,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Horbury & Ossett,Northern,Unknown,Central,London,Manchester,None,None,None
Calder Bridge,Northern,Unknown,Central,London,London,None,None,None
Horbury Bridge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Wrenthorpe,Northern,Unknown,Central,London,London,None,None,None
Kirkgate,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Methley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Garforth,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
East Garforth,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Micklefield,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
South Milford,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Sherburn-in-Elmet,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Church Fenton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ulleskelf,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Selby,"Northern,LNER,CrossCountry,TransPennine Express",YO8 4BA,North,Yorkshire and the Humber,Manchester,Selby Abbey,None,None
Howden,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Eastrington,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Gilberdyke,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Brough,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ferriby,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hessle,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hull,"Northern,TransPennine Express,LNER,CrossCountry",HU1 3QY,East,Yorkshire and the Humber,Manchester,The Deep Aquarium,Hull Minster,Museum Quarter Hull
Cottingham,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Beverley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Arram,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hutton Cranswick,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Driffield,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Nafferton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Bridlington,"Northern,TransPennine Express",Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Bempton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hunmanby,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Filey,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Scarborough,"Northern,TransPennine Express",YO12 7QX,North,Yorkshire and the Humber,Manchester,Scarborough Castle,Scarborough Beach,None
Seamer,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Malton,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Rillington,Northern,Unknown,Central,London,London,None,None,None
Knapton,Northern,Unknown,Central,London,London,None,None,None
Haxby,Northern,Unknown,Central,London,London,None,None,None
Strensall,Northern,Unknown,Central,London,London,None,None,None
Stamford Bridge,Northern,Unknown,Central,London,London,None,None,None
Market Weighton,Northern,Unknown,Central,London,London,None,None,None
Pocklington,Northern,Unknown,Central,London,London,None,None,None
Fangfoss,Northern,Unknown,Central,London,London,None,None,None
Warthill,Northern,Unknown,Central,London,London,None,None,None
Kirkham Priory,Northern,Unknown,Central,London,London,None,None,None
Howsham,Northern,Unknown,Central,London,London,None,None,None
Crambe,Northern,Unknown,Central,London,London,None,None,None
Barton Hill,Northern,Unknown,Central,London,London,None,None,None
Leicester,"East Midlands Railway,CrossCountry",LE1 1QP,Central,East Midlands,London,King Richard III Visitor Centre,Leicester Cathedral,Curve Theatre
Nottingham,"East Midlands Railway,CrossCountry",NG2 3AQ,Central,East Midlands,London,Nottingham Castle,Ye Olde Trip to Jerusalem,None
Derby,"East Midlands Railway,CrossCountry,Avanti West Coast,Northern",DE1 2NS,Central,East Midlands,London,Derby Cathedral,Silk Mill Museum,None
Loughborough,East Midlands Railway,LE11 1EW,Central,East Midlands,London,Carillon Tower & War Memorial,None,None
Beeston,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Long Eaton,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
East Midlands Parkway,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Attenborough,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Chesterfield,"East Midlands Railway,CrossCountry,Northern",S40 1AB,North,Yorkshire and the Humber,London,Chesterfield Crooked Spire,None,None
Alfreton,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Kirkby in Ashfield,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Hucknall,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Bulwell,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Ilkeston,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Netherfield,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Burton-on-Trent,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Tamworth,"East Midlands Railway,CrossCountry,London Northwestern Railway",B79 7NA,Central,West Midlands,London,Tamworth Castle,None,None
Lichfield Trent Valley,"London Northwestern Railway,CrossCountry",WS14 9LE,Central,West Midlands,London,Lichfield Cathedral (2km),None,None
Lichfield City,West Midlands Railway,WS13 6LG,Central,West Midlands,London,Lichfield Cathedral,Samuel Johnson Birthplace,None
Rugeley Trent Valley,CrossCountry,Unknown,Central,East Midlands,London,None,None,None
Rugeley Town,West Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Hednesford,West Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Cannock,West Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Landywood,West Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Bloxwich North,West Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Bloxwich,West Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Walsall,"West Midlands Railway,CrossCountry",WS2 8JZ,Central,West Midlands,London,Walsall Art Gallery (The New Art Gallery),None,None
Tame Bridge Parkway,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bescot Stadium,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Dudley Port,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Tipton,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Coseley,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bilston,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bradley Lane,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Darlaston,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
James Bridge,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Wednesbury,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Wednesfield Heath,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Willenhall,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Short Heath,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Butlers Lane,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Four Oaks,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Sutton Coldfield,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Wylde Green,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Chester Road,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Erdington,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Gravelly Hill,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Aston,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Duddeston,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Adderley Park,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Stechford,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Lea Hall,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Marston Green,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Coleshill Parkway,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Water Orton,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Wilnecote,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Polesworth,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Atherstone,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Nuneaton,"West Midlands Railway,CrossCountry,London Northwestern Railway",CV11 4JN,Central,West Midlands,London,George Eliot Birthplace (nearby),None,None
Bedworth,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bermuda Park,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Longford & Exhall,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Henley-in-Arden,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Wootton Wawen,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Wilmcote,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Stratford-upon-Avon Parkway,"West Midlands Railway,CrossCountry",Unknown,Central,West Midlands,London,None,None,None
Stratford-upon-Avon,"West Midlands Railway,CrossCountry",CV37 6YY,Central,West Midlands,London,Shakespeare's Birthplace,Royal Shakespeare Theatre,Anne Hathaway's Cottage
Claverdon,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Widney Manor,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bentley Heath,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Knowle & Dorridge,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Whitlocks End,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Shirley,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Yardley Wood,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Hall Green,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Spring Road,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Tyseley,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Small Heath,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bordesley,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Redditch,West Midlands Railway,B97 4DP,Central,West Midlands,London,None,None,None
Alvechurch,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Barnt Green,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Longbridge,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Northfield,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Kings Norton,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Bournville,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Kings Heath,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Moseley,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
University,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Five Ways,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Selly Oak,West Midlands Railway,Unknown,Central,West Midlands,London,None,None,None
Cambridge,"Greater Anglia,Thameslink,East Midlands Railway",CB1 2JW,East,East of England,London,King's College Chapel,Fitzwilliam Museum,The Backs
Cambridge North,Greater Anglia,CB4 1RX,East,East of England,London,None,None,None
Ely,"Greater Anglia,East Midlands Railway",CB7 4BG,East,East of England,London,Ely Cathedral,Oliver Cromwell's House,None
Ipswich,Greater Anglia,IP1 1AT,East,East of England,London,Christchurch Mansion,Ipswich Waterfront,None
Norwich,Greater Anglia,NR1 1EE,East,East of England,London,Norwich Cathedral (1km),Norwich Castle,None
Peterborough,"LNER,East Midlands Railway,Thameslink,CrossCountry",PE1 1QN,East,East of England,London,Peterborough Cathedral,Flag Fen Museum,None
Stevenage,"LNER,Thameslink,Great Northern",SG1 1UA,East,East of England,London,None,None,None
Hitchin,"Thameslink,Great Northern",Unknown,East,East of England,London,None,None,None
